incident_id,opened_at,resolved_at,priority,service,category,assignment_group,ci,channel,sla_due,sla_breached,reopen_count,customer_sat
INC10000,2025-11-02 00:08:37.623315,2025-11-02 07:37:37.623315,P3,Сервис-деск,Проблема,Service Desk L1,FW-01,Мониторинг,2025-11-03 00:08:37.623315,False,0,5
INC10001,2025-11-02 05:35:37.623315,,P3,VPN,Проблема,Service Desk L2,DS-CL-01,Мониторинг,2025-11-03 05:35:37.623315,True,0,1
INC10002,2025-11-02 08:12:37.623315,2025-11-03 06:29:37.623315,P4,Сервис-деск,Сервисный запрос,Network,APP-ERP-01,Почта,2025-11-04 08:12:37.623315,False,0,3
INC10003,2025-11-02 02:26:37.623315,2025-11-03 02:24:37.623315,P3,Сеть офисов,Сервисный запрос,NOC,DS-CL-01,Мониторинг,2025-11-03 02:26:37.623315,False,0,2
INC10004,2025-11-02 01:56:37.623315,2025-11-03 03:07:37.623315,P3,Сеть офисов,Инцидент,Service Desk L2,FW-01,Портал,2025-11-03 01:56:37.623315,True,0,3
INC10005,2025-11-02 02:15:37.623315,,P3,ERP,Сервисный запрос,Service Desk L2,APP-ERP-01,Почта,2025-11-03 02:15:37.623315,True,0,4
INC10006,2025-11-02 20:38:37.623315,2025-11-03 06:52:37.623315,P4,Сеть офисов,Проблема,Application Support,MAIL-CL-01,Почта,2025-11-04 20:38:37.623315,False,0,2
INC10007,2025-11-02 08:20:37.623315,2025-11-03 06:58:37.623315,P3,Корпоративная почта,Инцидент,NOC,APP-ERP-01,Мониторинг,2025-11-03 08:20:37.623315,False,0,4
INC10008,2025-11-02 18:17:37.623315,2025-11-05 14:56:37.623315,P4,Data Platform,Проблема,DBA,DB-PRD-01,Телефон,2025-11-04 18:17:37.623315,True,0,
INC10009,2025-11-02 16:55:37.623315,2025-11-03 20:40:37.623315,P3,ERP,Инцидент,Application Support,MAIL-CL-01,Мониторинг,2025-11-03 16:55:37.623315,True,0,5
INC10010,2025-11-02 02:30:37.623315,2025-11-03 07:49:37.623315,P3,Сеть офисов,Инцидент,DBA,VPN-GW-02,Мониторинг,2025-11-03 02:30:37.623315,True,0,1
INC10011,2025-11-02 00:04:37.623315,2025-11-03 12:59:37.623315,P4,Сервис-деск,Сервисный запрос,NOC,APP-ERP-01,Мониторинг,2025-11-04 00:04:37.623315,False,0,5
INC10012,2025-11-02 23:17:37.623315,2025-11-04 00:10:37.623315,P4,Сеть офисов,Инцидент,Service Desk L2,APP-ERP-01,Почта,2025-11-04 23:17:37.623315,False,0,4
INC10013,2025-11-02 17:10:37.623315,2025-11-04 13:55:37.623315,P4,Data Platform,Инцидент,NOC,APP-ERP-01,Телефон,2025-11-04 17:10:37.623315,False,0,4
INC10014,2025-11-02 17:26:37.623315,2025-11-02 19:06:37.623315,P2,Сеть офисов,Инцидент,Application Support,DS-CL-01,Мониторинг,2025-11-03 01:26:37.623315,False,1,4
INC10015,2025-11-02 07:54:37.623315,2025-11-03 13:19:37.623315,P4,Сеть офисов,Проблема,Service Desk L2,DB-PRD-01,Телефон,2025-11-04 07:54:37.623315,False,0,
INC10016,2025-11-02 19:44:37.623315,2025-11-03 04:29:37.623315,P3,VPN,Инцидент,NOC,APP-ERP-01,Портал,2025-11-03 19:44:37.623315,False,0,4
INC10017,2025-11-02 17:35:37.623315,2025-11-02 18:35:37.623315,P1,VPN,Инцидент,NOC,APP-ERP-01,Портал,2025-11-02 21:35:37.623315,False,0,3
INC10018,2025-11-02 20:52:37.623315,,P3,Сеть офисов,Проблема,DBA,DB-PRD-01,Мониторинг,2025-11-03 20:52:37.623315,True,0,4
INC10019,2025-11-02 02:27:37.623315,2025-11-04 11:04:37.623315,P4,Data Platform,Проблема,NOC,DS-CL-01,Портал,2025-11-04 02:27:37.623315,True,0,
INC10020,2025-11-02 10:12:37.623315,2025-11-03 12:40:37.623315,P4,Сеть офисов,Сервисный запрос,Application Support,VPN-GW-02,Почта,2025-11-04 10:12:37.623315,False,0,4
INC10021,2025-11-02 01:49:37.623315,2025-11-02 15:41:37.623315,P4,Корпоративная почта,Проблема,Service Desk L1,FW-01,Портал,2025-11-04 01:49:37.623315,False,1,4
INC10022,2025-11-02 04:47:37.623315,2025-11-03 08:39:37.623315,P3,Корпоративная почта,Инцидент,DBA,FW-01,Мониторинг,2025-11-03 04:47:37.623315,True,0,2
INC10023,2025-11-02 08:48:37.623315,2025-11-05 03:44:37.623315,P4,VPN,Инцидент,Network,DB-PRD-01,Портал,2025-11-04 08:48:37.623315,True,0,1
INC10024,2025-11-02 01:08:37.623315,,P3,Data Platform,Проблема,Service Desk L1,DB-PRD-01,Портал,2025-11-03 01:08:37.623315,True,1,5
INC10025,2025-11-02 04:25:37.623315,2025-11-02 20:58:37.623315,P3,Data Platform,Инцидент,Service Desk L1,DB-PRD-01,Портал,2025-11-03 04:25:37.623315,False,0,2
INC10026,2025-11-02 20:58:37.623315,2025-11-03 15:16:37.623315,P3,VPN,Проблема,Service Desk L2,APP-ERP-01,Почта,2025-11-03 20:58:37.623315,False,0,4
INC10027,2025-11-02 21:02:37.623315,2025-11-03 02:29:37.623315,P3,Корпоративная почта,Сервисный запрос,Service Desk L1,MAIL-CL-01,Портал,2025-11-03 21:02:37.623315,False,0,4
INC10028,2025-11-02 15:37:37.623315,2025-11-02 17:17:37.623315,P2,VPN,Сервисный запрос,Network,DB-PRD-01,Мониторинг,2025-11-02 23:37:37.623315,False,0,
INC10029,2025-11-02 09:00:37.623315,2025-11-02 10:34:37.623315,P4,Сервис-деск,Проблема,Network,DS-CL-01,Портал,2025-11-04 09:00:37.623315,False,1,4
INC10030,2025-11-02 07:28:37.623315,2025-11-03 05:11:37.623315,P4,ERP,Сервисный запрос,Service Desk L1,DB-PRD-01,Телефон,2025-11-04 07:28:37.623315,False,0,
