request_id,opened_at,closed_at,service,request_type,assignment_group,status,fulfillment_hours
REQ20000,2025-11-02 07:31:37.623315,2025-11-06 07:31:37.623315,Data Platform,BI-отчет,Service Desk L2,В работе,96
REQ20001,2025-11-02 16:21:37.623315,2025-11-03 08:21:37.623315,Корпоративная почта,Учетная запись,Application Support,Отклонен,16
REQ20002,2025-11-02 01:14:37.623315,2025-11-04 02:14:37.623315,Сеть офисов,BI-отчет,Application Support,В работе,49
REQ20003,2025-11-02 03:23:37.623315,2025-11-03 20:23:37.623315,ERP,Доступ,Network,Завершен,41
REQ20004,2025-11-02 20:36:37.623315,2025-11-06 11:36:37.623315,Корпоративная почта,Сброс пароля,Service Desk L1,В работе,87
REQ20005,2025-11-02 19:08:37.623315,2025-11-03 16:08:37.623315,VPN,Оборудование,Application Support,В работе,21
REQ20006,2025-11-01 23:32:37.623315,2025-11-05 23:32:37.623315,ERP,Согласование,Service Desk L2,Отклонен,96
REQ20007,2025-11-02 06:38:37.623315,2025-11-03 04:38:37.623315,Сервис-деск,Доступ,DBA,Завершен,22
REQ20008,2025-11-02 14:35:37.623315,2025-11-03 17:35:37.623315,Data Platform,Сброс пароля,Network,Завершен,27
REQ20009,2025-11-02 06:22:37.623315,2025-11-05 20:22:37.623315,VPN,Согласование,Network,В работе,86
REQ20010,2025-11-02 02:10:37.623315,2025-11-03 15:10:37.623315,ERP,Учетная запись,Service Desk L1,В работе,37
REQ20011,2025-11-02 21:14:37.623315,2025-11-05 19:14:37.623315,ERP,Доступ,NOC,В работе,70
REQ20012,2025-11-02 04:58:37.623315,2025-11-03 15:58:37.623315,Корпоративная почта,Доступ,Service Desk L1,В работе,35
REQ20013,2025-11-02 11:07:37.623315,2025-11-04 05:07:37.623315,Data Platform,BI-отчет,Service Desk L1,Завершен,42
REQ20014,2025-11-02 12:18:37.623315,2025-11-05 15:18:37.623315,VPN,Сброс пароля,NOC,Отклонен,75
REQ20015,2025-11-02 12:21:37.623315,2025-11-05 08:21:37.623315,Сеть офисов,Учетная запись,Service Desk L2,Отклонен,68
REQ20016,2025-11-02 23:03:37.623315,2025-11-04 02:03:37.623315,ERP,Согласование,NOC,Отклонен,27
REQ20017,2025-11-02 10:00:37.623315,2025-11-04 04:00:37.623315,Сервис-деск,Доступ,Service Desk L2,В работе,42
REQ20018,2025-11-02 15:40:37.623315,2025-11-06 06:40:37.623315,Data Platform,Сброс пароля,DBA,Отклонен,87
REQ20019,2025-11-02 08:56:37.623315,2025-11-03 02:56:37.623315,VPN,Согласование,Service Desk L2,В работе,18
REQ20020,2025-11-02 21:08:37.623315,2025-11-03 21:08:37.623315,Сеть офисов,BI-отчет,Network,В работе,24
REQ20021,2025-11-02 17:14:37.623315,2025-11-02 19:14:37.623315,ERP,Сброс пароля,Application Support,В работе,2
REQ20022,2025-11-02 17:59:37.623315,2025-11-06 06:59:37.623315,ERP,Согласование,DBA,В работе,85
REQ20023,2025-11-02 20:34:37.623315,2025-11-05 15:34:37.623315,Data Platform,Учетная запись,Application Support,Отклонен,67
REQ20024,2025-11-02 01:39:37.623315,2025-11-04 20:39:37.623315,Сервис-деск,Учетная запись,Service Desk L1,В работе,67
REQ20025,2025-11-02 02:13:37.623315,2025-11-03 10:13:37.623315,Сервис-деск,Сброс пароля,Application Support,Завершен,32
REQ20026,2025-11-02 03:22:37.623315,2025-11-02 10:22:37.623315,VPN,Согласование,Service Desk L1,Завершен,7
REQ20027,2025-11-02 13:47:37.623315,2025-11-05 23:47:37.623315,Сеть офисов,Оборудование,Service Desk L2,Отклонен,82
REQ20028,2025-11-02 11:52:37.623315,2025-11-04 16:52:37.623315,VPN,Оборудование,Service Desk L2,Отклонен,53
REQ20029,2025-11-02 00:18:37.623315,2025-11-02 15:18:37.623315,Data Platform,Оборудование,Application Support,Отклонен,15
REQ20030,2025-11-02 15:50:37.623315,2025-11-02 23:50:37.623315,Сеть офисов,Оборудование,NOC,В работе,8
REQ20031,2025-11-02 04:12:37.623315,2025-11-04 17:12:37.623315,Сервис-деск,BI-отчет,Service Desk L1,Отклонен,61
REQ20032,2025-11-02 10:09:37.623315,2025-11-04 20:09:37.623315,Сеть офисов,Учетная запись,Service Desk L1,В работе,58
REQ20033,2025-11-02 16:49:37.623315,2025-11-03 14:49:37.623315,Сервис-деск,Согласование,DBA,В работе,22
